receiverAddress,Username,Degen
0x180484c982e64c0ece5aed772944bff14be4d06f,stlillustrations,151.86
0xacfbc87d4ff16bc6d2df6d383c25ffe7efa56da8,dehiscenceart,77.18
0x5a6a84fb9063af1d83d0ac4809697a40715a1530,kristinpiljay,475.13
0x8298708a93c9a12d744852809b60ea0e4d32b1a1,alleytac,155.54
0xb99e9fa67f5f1e2a04af9d63ec65a7f19440bae6,samvox,103.40
0x741e56c8311e30e938811963eaa97e4d8c0c6f53,amir-tabrizi,54.84
0x7a48caf54817c6abf0dd2b1935e69ac84009dc45,hanisa12d,960.96
0x4c31a03f32d263bad138de520d3cc27af4dfa16d,sallysharifi,789.91
0xc47f7cc34dd2313fd36b1c81f2ef860fce7c2f37,classeart.eth,371.37
0x5a5707185e614a78da8a9cec3fb994c1cf564910,mistershot,3.36
0x64890f10a5b02bf10f170ddde4540b858005bb8f,pkok,987.70
0x9a064a0ef88393662de416a59fa4cbe9f4900fc8,deriniti,501.58
0x13df035952316f5fb663c262064ee39e44aa6b43,evolve,1974.54
0x7cef3a76e5c873432fce51da0ae5b2167e13ffa6,esraeslen,139.23
0x9076a53bac35b498dfb9b9afb60c120013fcdb68,nika-kh,2928.89
0xcc318ddda22641cf4c82f538ec2c3148aa19ac4e,nasimghanizade,162.76
0xbdddfb2ff21efcc00a2ca5a7d1fdc5798c98f07b,aqueous,255.39
0xd49e55b8078dec84a3c0315fd76d89047768d0a3,luigistranieri,267.48
0xef0c7cffb028ecbd015e241dc00066aa804fa861,latif,336.38
0xc793ee64e6ac6239c527fd041a78a8fcaa245e4f,claireujma,619.08
0x24255d06cfb9dbae774f9fb8697f7850f1d8a5f1,with-dani69,20.52
0x1471966abfe75cf87fdad8b76d657eab8400f0b0,sreeranj,55.29
0xcc5b9b35cf05dd6c1b9f2362700cb579fe30c2fd,pinkman16,422.26
0x9095de52c39f22b324f0c565d5c6ef1236fc6bc6,odysseyheart,639.57
0xddc9520acb5d1923412674a4ce07bb2e32ff0ac7,srimoam,727.19
0xbfdfe0b764bff626ecb1f746242e0ef4f230f8e1,hind,175.68
0x9a5feab2a4dc7b67d35c0ccb496262892fd89367,bay-photography,342.32
0xdbb70ac885fee2e118fc7d35f1fa29d030e09e11,codymayer22,573.08
0xab3fcf5ea98f31bbb47b0e47c054d70e13b21966,tracingstories,3.44
0x5fb8bbf7b9c064bcf41ad99cf8736b1b204ff9f2,jeyloo,1098.29
0x589a4d21780b2ecf0cfd9bc5faa9b5fca88d7a54,svetlana,189.85
0x9f327969a2aead18c7d0424c537a05c597080261,victoresteves.eth,222.39
0xbf6f895ee174e959efbad35ae9ee7807f37f9c03,lewisosb,209.79
0x32aaeee01a1bd496c57fc448947ad8136c6f4565,browntopink,58.33
0x7af54024749e6cacc96673a115146222cccf220c,samaart,55.55
0x5d85e0403f815ce6b88fa7653ee84e46e5f59b95,anemale.eth,267.35
0x6826ba168776251688d4e3a6c4ac430cf4f185a8,farazelahian,936.54
0xe55036b78702961e72a27d21c3eb78c71bb6a645,edurubio,153.56
0xfe819920199392cdd911acdaed84b38f30e27562,eriks,1313.83
0x0aa55b5405e21dd0c3ebcd06a5d0a982fdb44eea,opstudios,470.75
0x598c91d70e16177defb34cba95c2f80f551a4ccb,nfthreat.eth,17.50
0xfb949be0be9b4e99e824b1f868e84891aee4ee6a,datavelvet,52.73
0xbd83dbb0498a9a527a6405a4eb85e5f83bb59be5,feyzullah,217.73
0x10d503ffe3b10fc43285396de53d4df66a7a15e5,sarahc,420.45
0x3afb6fc18b7076087a72ccc6f21d732c4b253da9,yedai,240.76
0x2fb0e475f6d495dfdfd9176af9113f48f7687565,nimaleophotos.eth,310.47
0x1a755427474c0f0be7df80a3cb2e562955f1cc26,tatertots,138.11
0x673460953de8a52d1ccae3c7e31fd445da99928e,lucianaguerraok,186.78
0x22bd48f0c86ce31f3b104b43607512d1fbc296d0,arttoflex,20.30
0xb6c4ce4eae85066f8fc45093d12444c8b89a6aa9,jasonophoto,140.65
0x64b532e03260bf39cb89a1a6e0f6884f1c144346,fazeleh,39.76
